map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
empty-48-48,1,2,online_window_dijkstra_2,-111.37,3.91,100,0.03,0,0.59,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,3,2,online_window_dijkstra_2,-91,2.87,100,0.02,0,0.63,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,2,2,online_window_dijkstra_2,-161.23,3.95,100,0.03,0,0.86,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,4,2,online_window_dijkstra_2,-298.97,7.46,100,0.06,0.04,14.52,0.02,0,0,0,2,0.330000-,-,-,-,-,-
empty-48-48,6,2,online_window_dijkstra_2,-103.7,2.71,100,0.03,0.01,8.96,0.02,0,0,0,2,0.170000-,-,-,-,-,-
empty-48-48,5,2,online_window_dijkstra_2,-277.7,6.72,100,0.1,0.08,20.35,0.02,0,0,0,2,0.470000-,-,-,-,-,-
empty-48-48,1,2,online_window_vi_2,-85.63,2.61,100,3.12,0,0.35,3.12,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,3,2,online_window_vi_2,-69.8,2.7,100,3.41,0,0.36,3.41,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,8,2,online_window_dijkstra_2,-119,4.01,100,0.02,0,0.63,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,2,2,online_window_vi_2,-160.8,3.55,100,3.94,0,0.63,3.94,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,9,2,online_window_dijkstra_2,-147.13,3.6,100,0.02,0,0.63,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,4,2,online_window_vi_2,-245,4.32,100,3.91,0.02,10.28,3.89,0,0,0,2,0.070000-,-,-,-,-,-
empty-48-48,5,2,online_window_vi_2,-216.33,4.27,100,3.67,0.01,1,3.66,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,10,2,online_window_dijkstra_2,-199.43,6.59,100,0.02,0,0.8,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,11,2,online_window_dijkstra_2,-102.37,3.37,100,0.02,0,0.47,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,6,2,online_window_vi_2,-90.13,2.61,100,3.46,0.02,7.77,3.44,0,0,0,2,0.170000-,-,-,-,-,-
empty-48-48,12,2,online_window_dijkstra_2,-119.43,3.66,100,0.03,0.01,4.79,0.02,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,13,2,online_window_dijkstra_2,-129.03,3.39,100,0.04,0.02,8.65,0.02,0,0,0,2,0.200000-,-,-,-,-,-
empty-48-48,8,2,online_window_vi_2,-101.57,2.63,100,3.72,0,0.48,3.72,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,9,2,online_window_vi_2,-108.3,2.28,100,3.12,0,0.41,3.12,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,11,2,online_window_vi_2,-89.03,2.88,100,3.39,0,0.41,3.39,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,10,2,online_window_vi_2,-122.73,3.09,100,3.86,0,0.46,3.86,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,12,2,online_window_vi_2,-109.7,3.23,100,3.42,0,0.46,3.42,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,16,2,online_window_dijkstra_2,-158.8,5.62,100,0.02,0,0.91,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,7,2,online_window_vi_2,-238.7,4.61,100,4,0.09,38.01,3.91,0,0,0,2,0.530000-,-,-,-,-,-
empty-48-48,13,2,online_window_vi_2,-102.9,3.17,100,3.23,0,0.54,3.23,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,17,2,online_window_dijkstra_2,-199.27,5.61,100,0.02,0,0.9,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,14,2,online_window_dijkstra_2,-204.97,5.62,100,0.11,0.08,28.64,0.03,0,0,0,2,0.670000-,-,-,-,-,-
empty-48-48,18,2,online_window_dijkstra_2,-177.4,3.49,100,0.02,0,0.9,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,19,2,online_window_dijkstra_2,-109.97,3.98,100,0.02,0,0.5,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,14,2,online_window_vi_2,-166.53,3.42,100,3.21,0,0.62,3.21,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,20,2,online_window_dijkstra_2,-145.2,4.87,100,0.02,0,0.65,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,15,2,online_window_dijkstra_2,-194.17,5.36,100,0.16,0.14,35.24,0.02,0,0,0,2,1.230000-,-,-,-,-,-
empty-48-48,21,2,online_window_dijkstra_2,-207.27,5.35,100,0.02,0,0.9,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,16,2,online_window_vi_2,-130.43,3.08,100,3.36,0,0.68,3.36,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,17,2,online_window_vi_2,-144.9,2.96,100,3.38,0,0.59,3.38,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,22,2,online_window_dijkstra_2,-200.17,4.45,100,0.03,0.01,1.1,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,7,2,online_window_dijkstra_2,-257.03,6.74,100,0.45,0.43,103.36,0.02,0,0,0,2,3.370000-,-,-,-,-,-
empty-48-48,19,2,online_window_vi_2,-90.27,2.38,100,3.09,0,0.39,3.09,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,18,2,online_window_vi_2,-163.7,3.28,100,3.68,0,0.72,3.68,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,23,2,online_window_dijkstra_2,-145.17,4.4,100,0.03,0.01,6.69,0.02,0,0,0,2,0.130000-,-,-,-,-,-
empty-48-48,20,2,online_window_vi_2,-124.57,3.96,100,2.71,0,0.46,2.71,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,25,2,online_window_dijkstra_2,-226.77,4.67,100,0.03,0.01,1.04,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,21,2,online_window_vi_2,-135.37,2.75,100,3.28,0,0.51,3.28,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,24,2,online_window_dijkstra_2,-177.9,5.41,100,0.09,0.07,21.87,0.02,0,0,0,2,0.530000-,-,-,-,-,-
empty-48-48,15,2,online_window_vi_2,-150.73,4.18,100,3.3,0.18,51.46,3.12,0,0,0,2,1.800000-,-,-,-,-,-
empty-48-48,22,2,online_window_vi_2,-168.03,3.37,100,3.36,0,0.88,3.36,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,3,4,online_window_dijkstra_2,-139.3,4.51,100,0.04,0,0.92,0.04,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,24,2,online_window_vi_2,-145.5,3.6,100,3.43,0,0.62,3.43,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,23,2,online_window_vi_2,-137.2,4.36,100,4.28,0.02,10.55,4.26,0,0,0,2,0.170000-,-,-,-,-,-
empty-48-48,25,2,online_window_vi_2,-194.9,4.23,100,3.59,0.03,12.23,3.56,0,0,0,2,0.430000-,-,-,-,-,-
empty-48-48,1,4,online_window_dijkstra_2,-321.67,7.56,100,0.31,0.27,65.52,0.04,0,0,0,2,2.430000-,-,-,-,-,-
empty-48-48,2,4,online_window_dijkstra_2,-261.8,5.41,100,0.27,0.23,66.02,0.04,0,0,0,2,1.600000-,-,-,-,-,-
empty-48-48,3,4,online_window_vi_2,-123.33,3.1,100,6.57,0,0.68,6.57,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,5,4,online_window_dijkstra_2,-529.1,10.45,100,0.29,0.25,57.11,0.04,0,0,0,2,2.000000-,-,-,-,-,-
empty-48-48,2,4,online_window_vi_2,-258.9,6.29,100,7.48,0.12,54.89,7.36,0,0,0,2,0.830000-,-,-,-,-,-
empty-48-48,6,4,online_window_dijkstra_2,-255.37,6.71,100,0.32,0.28,72.92,0.04,0,0,0,2,2.500000-,-,-,-,-,-
empty-48-48,5,4,online_window_vi_2,-425.63,6.2,100,7.2,0.05,21.8,7.15,0,0,0,2,0.330000-,-,-,-,-,-
empty-48-48,8,4,online_window_dijkstra_2,-230.67,4.18,100,0.05,0.01,1.2,0.04,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,9,4,online_window_dijkstra_2,-430.27,6.95,100,0.06,0.02,5.72,0.04,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,6,4,online_window_vi_2,-189.97,4.27,100,6.8,0.13,33.43,6.67,0,0,0,2,1.270000-,-,-,-,-,-
empty-48-48,10,4,online_window_dijkstra_2,-412.9,9.26,100,0.1,0.06,22.05,0.04,0,0,0,2,0.500000-,-,-,-,-,-
empty-48-48,7,4,online_window_vi_2,-287.03,7.61,100,7.35,0.15,63.96,7.2,0,0,0,2,0.970000-,-,-,-,-,-
empty-48-48,8,4,online_window_vi_2,-203.4,4.12,100,7.29,0.01,0.96,7.28,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,7,4,online_window_dijkstra_2,-319.87,8.62,100,0.5,0.46,110.74,0.04,0,0,0,2,3.370000-,-,-,-,-,-
empty-48-48,11,4,online_window_dijkstra_2,-247.97,8.16,100,0.15,0.11,31.86,0.04,0,0,0,2,0.930000-,-,-,-,-,-
empty-48-48,12,4,online_window_dijkstra_2,-243.77,4.66,100,0.15,0.11,35.1,0.04,0,0,0,2,1.130000-,-,-,-,-,-
empty-48-48,10,4,online_window_vi_2,-275.1,5.81,100,7.31,0.02,6.9,7.29,0,0,0,2,0.130000-,-,-,-,-,-
empty-48-48,13,4,online_window_dijkstra_2,-193.63,5.4,100,0.05,0.01,4.85,0.04,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,9,4,online_window_vi_2,-377.57,5.3,100,6.95,0.21,54.77,6.74,0,0,0,2,1.530000-,-,-,-,-,-
empty-48-48,14,4,online_window_dijkstra_2,-394.23,9.36,100,0.15,0.11,35.15,0.04,0,0,0,2,0.900000-,-,-,-,-,-
empty-48-48,11,4,online_window_vi_2,-199.97,4.61,100,6.63,0.19,40.81,6.44,0,0,0,2,1.930000-,-,-,-,-,-
empty-48-48,13,4,online_window_vi_2,-166.87,4.27,100,6.74,0.01,0.97,6.73,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,12,4,online_window_vi_2,-214.53,3.86,100,6.44,0.1,28.47,6.34,0,0,0,2,1.030000-,-,-,-,-,-
empty-48-48,16,4,online_window_dijkstra_2,-227.9,6.46,100,0.05,0.01,1.59,0.04,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,14,4,online_window_vi_2,-313.97,6.84,100,6.47,0.06,18.03,6.41,0,0,0,2,0.670000-,-,-,-,-,-
empty-48-48,17,4,online_window_dijkstra_2,-406.47,7.2,100,0.09,0.05,18.73,0.04,0,0,0,2,0.370000-,-,-,-,-,-
empty-48-48,15,4,online_window_dijkstra_2,-375.43,7.48,100,0.36,0.32,69.56,0.04,0,0,0,2,3.770000-,-,-,-,-,-
empty-48-48,16,4,online_window_vi_2,-192.8,4.6,100,6.5,0.02,6.63,6.48,0,0,0,2,0.070000-,-,-,-,-,-
empty-48-48,18,4,online_window_dijkstra_2,-437.57,8.03,100,0.26,0.22,49.58,0.04,0,0,0,2,2.300000-,-,-,-,-,-
empty-48-48,19,4,online_window_dijkstra_2,-387.8,9.37,100,0.12,0.08,21.91,0.04,0,0,0,2,0.670000-,-,-,-,-,-
empty-48-48,20,4,online_window_dijkstra_2,-340.83,10.38,100,0.05,0.01,4.87,0.04,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,17,4,online_window_vi_2,-323.03,6.19,100,6.51,0.08,27.25,6.43,0,0,0,2,0.630000-,-,-,-,-,-
empty-48-48,4,4,online_window_vi_2,-356.67,7.31,100,7.76,1.33,1002.55,6.43,0,0,0,3,3.400000-,-,-,-,-,-
empty-48-48,18,4,online_window_vi_2,-365.53,5.58,100,7.44,0.08,28.45,7.36,0,0,0,2,0.900000-,-,-,-,-,-
empty-48-48,21,4,online_window_dijkstra_2,-365.9,6.76,100,0.21,0.17,46.21,0.04,0,0,0,2,1.730000-,-,-,-,-,-
empty-48-48,22,4,online_window_dijkstra_2,-498.7,8.53,100,0.07,0.03,14.13,0.04,0,0,0,2,0.200000-,-,-,-,-,-
empty-48-48,23,4,online_window_dijkstra_2,-333.8,5.66,100,0.06,0.02,8.98,0.04,0,0,0,2,0.130000-,-,-,-,-,-
empty-48-48,21,4,online_window_vi_2,-275.27,5.6,100,6.47,0.01,1.33,6.46,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,19,4,online_window_vi_2,-273.53,5.59,100,6.71,0.13,34.79,6.58,0,0,0,2,1.230000-,-,-,-,-,-
empty-48-48,20,4,online_window_vi_2,-268.2,5.04,100,6.13,0.1,23.8,6.03,0,0,0,2,1.130000-,-,-,-,-,-
empty-48-48,24,4,online_window_dijkstra_2,-285.07,8.53,100,0.16,0.12,30.2,0.04,0,0,0,2,1.300000-,-,-,-,-,-
empty-48-48,23,4,online_window_vi_2,-309.27,7.29,100,7.58,0.02,9.07,7.56,0,0,0,2,0.170000-,-,-,-,-,-
empty-48-48,22,4,online_window_vi_2,-407.53,6.52,100,7.09,0.14,45.66,6.95,0,0,0,2,0.730000-,-,-,-,-,-
empty-48-48,25,4,online_window_dijkstra_2,-447.33,8.61,100,0.3,0.26,62.23,0.04,0,0,0,2,2.530000-,-,-,-,-,-
empty-48-48,25,4,online_window_vi_2,-334,5.31,100,6.99,0.02,10.34,6.97,0,0,0,2,0.270000-,-,-,-,-,-
empty-48-48,24,4,online_window_vi_2,-226.83,3.45,100,7.26,0.18,38.2,7.08,0,0,0,2,2.100000-,-,-,-,-,-
empty-48-48,2,6,online_window_dijkstra_2,-310.57,5.88,100,0.2,0.14,49.84,0.06,0,0,0,2,1.130000-,-,-,-,-,-
empty-48-48,3,6,online_window_dijkstra_2,-269.2,5.54,100,0.32,0.26,52.05,0.06,0,0,0,2,2.830000-,-,-,-,-,-
empty-48-48,2,6,online_window_vi_2,-299.63,7.19,100,10.53,0.12,46.19,10.41,0,0,0,2,0.830000-,-,-,-,-,-
empty-48-48,3,6,online_window_vi_2,-230.67,5.55,100,9.86,0.37,74.55,9.49,0,0,0,2,3.470000-,-,-,-,-,-
empty-48-48_scen-4_agents=4,4,4,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-1_agents=4,1,4,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,5,6,online_window_vi_2,-641.83,8.67,100,9.96,0.32,71.75,9.64,0,0,0,2,2.970000-,-,-,-,-,-
empty-48-48,6,6,online_window_vi_2,-315.73,5.43,100,9.49,0.27,58.11,9.22,0,0,0,2,2.630000-,-,-,-,-,-
empty-48-48_scen-15_agents=4,15,4,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-1_agents=6,1,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,8,6,online_window_dijkstra_2,-369.57,6.96,100,0.08,0.02,5.7,0.06,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,7,6,online_window_vi_2,-388.83,6.38,100,10.44,0.43,101.1,10.01,0,0,0,2,2.830000-,-,-,-,-,-
empty-48-48,8,6,online_window_vi_2,-301.27,4.68,100,10.68,0.02,7.27,10.66,0,0,0,2,0.070000-,-,-,-,-,-
empty-48-48_scen-4_agents=6,4,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,10,6,online_window_dijkstra_2,-616.17,11.74,100,0.32,0.26,58.01,0.06,0,0,0,2,2.630000-,-,-,-,-,-
empty-48-48_scen-4_agents=6,4,6,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-5_agents=6,5,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,11,6,online_window_dijkstra_2,-404.33,6.88,100,0.33,0.27,60.27,0.06,0,0,0,2,2.300000-,-,-,-,-,-
empty-48-48,10,6,online_window_vi_2,-459.5,6.98,100,10.8,0.15,37.29,10.65,0,0,0,2,1.430000-,-,-,-,-,-
empty-48-48,11,6,online_window_vi_2,-369.97,7.1,100,10.61,0.29,62.73,10.32,0,0,0,2,2.930000-,-,-,-,-,-
empty-48-48,13,6,online_window_dijkstra_2,-504.63,10.9,100,0.16,0.1,31.35,0.06,0,0,0,2,0.870000-,-,-,-,-,-
empty-48-48,12,6,online_window_vi_2,-374.53,6.02,100,10.1,0.32,69.9,9.78,0,0,0,2,3.100000-,-,-,-,-,-
empty-48-48,14,6,online_window_dijkstra_2,-626.23,8.17,100,0.36,0.3,68.62,0.06,0,0,0,2,3.070000-,-,-,-,-,-
empty-48-48,13,6,online_window_vi_2,-388.23,7.05,100,10.71,0.14,35,10.57,0,0,0,2,1.500000-,-,-,-,-,-
empty-48-48_scen-7_agents=6,7,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-9_agents=6,9,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,16,6,online_window_dijkstra_2,-366.97,8.69,100,0.27,0.21,43.63,0.06,0,0,0,2,2.000000-,-,-,-,-,-
empty-48-48_scen-9_agents=6,9,6,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,16,6,online_window_vi_2,-294.67,5.08,100,9.77,0.27,54.74,9.5,0,0,0,2,2.030000-,-,-,-,-,-
empty-48-48_scen-15_agents=6,15,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-1_agents=6,1,6,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48_scen-6_agents=6,6,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,19,6,online_window_dijkstra_2,-515.77,12.91,100,0.24,0.18,42.21,0.06,0,0,0,2,1.670000-,-,-,-,-,-
empty-48-48,18,6,online_window_vi_2,-608.43,11.09,100,11.43,0.6,125.6,10.83,0,0,0,2,5.970000-,-,-,-,-,-
