map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
ost003d,4,2,online_window_dijkstra_2,-272.1,4.3,100,1.19,0.01,1.31,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-540,7.97,100,1.19,0.01,2.74,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-602.57,8.2,100,1.19,0.02,2.95,1.17,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,1,2,online_window_dijkstra_2,-360.7,10.89,100,1.23,0.05,16.04,1.18,0,0,0,2,0.600000-,-,-,-,-,-
ost003d,5,2,online_window_dijkstra_2,-506.1,10.11,100,1.19,0.01,2.59,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,6,2,online_window_dijkstra_2,-503.1,7.47,100,1.12,0.01,2.31,1.11,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,7,2,online_window_dijkstra_2,-432.83,8.15,100,1.19,0.01,1.97,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,8,2,online_window_dijkstra_2,-386.97,7.67,100,1.19,0.01,1.56,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,3,2,online_window_vi_2,-457.83,6.49,100,249.36,0.01,1.87,249.35,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,2,2,online_window_vi_2,-468,6.65,100,251.84,0.01,1.96,251.83,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,4,2,online_window_vi_2,-240.73,4.13,100,252.1,0.01,0.97,252.09,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,6,2,online_window_vi_2,-422.6,4.81,100,248.13,0.01,1.58,248.12,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,9,2,online_window_dijkstra_2,-385.5,4.45,100,1.18,0.01,2.1,1.17,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,5,2,online_window_vi_2,-398.13,4.66,100,249.86,0.01,1.58,249.85,0,0,0,0,0.000000-,-,-,-,-,-
