map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,1,1,online_window_dijkstra_2,-156.87,3.76,100,0.01,0.01,1.34,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,2,1,online_window_dijkstra_2,-34.5,1.84,100,0,0,0.37,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,3,1,online_window_dijkstra_2,-41.03,4.14,100,0,0,0.37,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,4,1,online_window_dijkstra_2,-183.43,4.47,100,0.01,0.01,1.38,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,5,1,online_window_dijkstra_2,-122.03,3.42,100,0.01,0.01,1.04,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,6,1,online_window_dijkstra_2,-36.6,1.14,100,0,0,0.37,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,7,1,online_window_dijkstra_2,-8.3,0.88,100,0,0,0.17,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,8,1,online_window_dijkstra_2,-175.3,4.82,100,0.01,0.01,1.41,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,9,1,online_window_dijkstra_2,-99.67,2.29,100,0,0,0.87,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,10,1,online_window_dijkstra_2,-8.43,0.82,100,0,0,0.16,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,11,1,online_window_dijkstra_2,-187.53,3.4,100,0.01,0.01,1.64,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,12,1,online_window_dijkstra_2,-148.43,4.89,100,0.01,0.01,1.22,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,13,1,online_window_dijkstra_2,-162.17,4.44,100,0.01,0.01,1.33,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,14,1,online_window_dijkstra_2,-141.8,3.93,100,0.01,0.01,1.16,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,15,1,online_window_dijkstra_2,-213.6,4.7,100,0.01,0.01,1.68,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,16,1,online_window_dijkstra_2,-101.27,3.47,100,0,0,0.91,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,17,1,online_window_dijkstra_2,-116.5,4.4,100,0.01,0.01,0.96,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,18,1,online_window_dijkstra_2,-87.9,2.62,100,0,0,0.84,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,19,1,online_window_dijkstra_2,-192.97,6.33,100,0.01,0.01,1.52,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,20,1,online_window_dijkstra_2,-8.47,1,100,0,0,0.14,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,21,1,online_window_dijkstra_2,-208.77,4.57,100,0.01,0.01,1.61,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,22,1,online_window_dijkstra_2,-180.83,3.39,100,0.01,0.01,1.49,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,23,1,online_window_dijkstra_2,-8.17,0.81,100,0,0,0.1,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,24,1,online_window_dijkstra_2,-47.57,2.89,100,0,0,0.42,0,0,0,0,0,-nan,-,-,-,-,-
maze-32-32-4,25,1,online_window_dijkstra_2,-37.97,2.22,100,0,0,0.43,0,0,0,0,0,-nan,-,-,-,-,-
