map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,steps,replans_max_size,replans_count,max_steps_window,max_reached_window,max_expanded_window,n_livelock,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,online_window_dijkstra_2,2,1,-29,4.38557,4.38557,0,success,29,0,0,29,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-18,1.21819,1.21819,0,success,18,0,0,18,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-25,1.72141,1.72141,0,success,25,0,0,25,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-33,1.90777,1.90777,0,success,33,0,0,33,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-33,1.99984,1.99984,0,success,33,0,0,33,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-21,1.41357,1.41357,0,success,21,0,0,21,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-29,1.2796,1.2796,0,success,29,0,0,29,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-44,2.29297,2.29297,0,success,44,0,0,44,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-36,1.97514,1.97514,0,success,36,0,0,36,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-25,1.49672,1.49672,0,success,25,0,0,25,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-21,1.33436,1.33436,0,success,21,0,0,21,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-74,3.60692,3.60692,0,success,74,0,0,74,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-34,1.96496,1.96496,0,success,34,0,0,34,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-28,1.56051,1.56051,0,success,28,0,0,28,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-47,2.48199,2.48199,0,success,47,0,0,47,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-23,1.51411,1.51411,0,success,23,0,0,23,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-30,1.78529,1.78529,0,success,30,0,0,30,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-37,1.46699,1.46699,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-28,1.78005,1.78005,0,success,28,0,0,28,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-32,1.85517,1.85517,0,success,32,0,0,32,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-41,2.19003,2.19003,0,success,41,0,0,41,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-43,2.36523,2.36523,0,success,43,0,0,43,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-27,1.84884,1.84884,0,success,27,0,0,27,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-21,1.41126,1.41126,0,success,21,0,0,21,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-27,1.64227,1.64227,0,success,27,0,0,27,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-23,1.54394,1.54394,0,success,23,0,0,23,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,2,1,-47,2.25956,2.25956,0,success,47,0,0,47,0,0,0,-,-,-,-,-
