map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
empty-16-16,1,1,vi,-11.13,1.09,100,0.07,0,0.03,0.07,0,0,0,-,-,-,-,-,-,39
empty-16-16,1,1,online_window_dijkstra_2,-11.7,1.31,100,0,0,0.09,0,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,1,1,online_window_vi_2,-14.73,1.35,100,0.07,0,0.08,0.07,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,2,1,vi,-14.97,1.14,100,0.11,0,0.06,0.11,0,0,0,-,-,-,-,-,-,51
empty-16-16,2,1,online_window_dijkstra_2,-15.73,1.16,100,0,0,0.11,0,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,2,1,online_window_vi_2,-16.37,1.17,100,0.11,0,0.07,0.11,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,3,1,vi,-34.4,1.75,100,0.09,0,0.1,0.09,0,0,0,-,-,-,-,-,-,47
empty-16-16,3,1,online_window_dijkstra_2,-40.97,1.91,100,0.01,0,0.24,0.01,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,3,1,online_window_vi_2,-34.7,1.6,100,0.08,0,0.18,0.08,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,4,1,vi,-21.7,1.26,100,0.09,0,0.08,0.09,0,0,0,-,-,-,-,-,-,39
empty-16-16,4,1,online_window_dijkstra_2,-27.23,1.63,100,0,0,0.18,0,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,4,1,online_window_vi_2,-24.93,2.01,100,0.09,0,0.14,0.09,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,5,1,vi,-39,1.66,100,0.09,0,0.12,0.09,0,0,0,-,-,-,-,-,-,48
empty-16-16,5,1,online_window_dijkstra_2,-70.4,3.93,100,0,0,0.41,0,0,0,0,0,0.000000-,-,-,-,-,-
empty-16-16,5,1,online_window_vi_2,-42.23,1.62,100,0.1,0,0.22,0.1,0,0,0,0,0.000000-,-,-,-,-,-
