map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
Berlin_1_256,1,6,online_window_dijkstra_2,-1800.5,14.22,100,17.35,0.09,26.35,17.26,0,0,0,2,0.200000-,-,-,-,-,-
Berlin_1_256,4,6,online_window_dijkstra_2,-2244.43,13.54,100,17.59,0.08,15.45,17.51,0,0,0,2,0.030000-,-,-,-,-,-
Berlin_1_256,5,6,online_window_dijkstra_2,-3720.9,22.52,100,17.85,0.44,103.7,17.41,0,0,0,2,3.670000-,-,-,-,-,-
Berlin_1_256,3,6,online_window_dijkstra_2,-3576.4,19.19,100,18.37,0.87,225.57,17.5,0,0,0,2,5.370000-,-,-,-,-,-
Berlin_1_256,2,6,online_window_dijkstra_2,-3297.43,21.79,100,18.42,1.06,222.52,17.36,0,0,0,2,5.470000-,-,-,-,-,-
Berlin_1_256,7,6,online_window_dijkstra_2,-2534.47,15.16,100,17.47,0.08,14.54,17.39,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,6,6,online_window_dijkstra_2,-3865.03,23.09,100,18.3,0.66,172.47,17.64,0,0,0,2,5.530000-,-,-,-,-,-
Berlin_1_256_scen-8_agents=6,8,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Berlin_1_256,9,6,online_window_dijkstra_2,-4158.7,24.2,100,18.48,0.98,239.78,17.5,0,0,0,2,3.770000-,-,-,-,-,-
Berlin_1_256,10,6,online_window_dijkstra_2,-3607.53,26.71,100,17.56,0.31,79.23,17.25,0,0,0,2,1.570000-,-,-,-,-,-
Berlin_1_256,5,6,online_window_vi_2,-3048.9,12.13,100,2264.66,0.18,37.41,2264.48,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,1,6,online_window_vi_2,-1548.1,9.38,100,2295.24,0.26,81.7,2294.98,0,0,0,2,0.630000-,-,-,-,-,-
Berlin_1_256,4,6,online_window_vi_2,-1815.23,12.15,100,2301.48,0.21,44.58,2301.27,0,0,0,2,2.200000-,-,-,-,-,-
Berlin_1_256,3,6,online_window_vi_2,-2818.3,13.4,100,2295.45,0.76,195.52,2294.69,0,0,0,2,2.500000-,-,-,-,-,-
Berlin_1_256,11,6,online_window_dijkstra_2,-3118.1,16.2,100,24.7,0.16,28.95,24.54,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,2,6,online_window_vi_2,-2728.37,14.59,100,2289.57,2.15,463.92,2287.42,0,0,0,2,7.530000-,-,-,-,-,-
Berlin_1_256,12,6,online_window_dijkstra_2,-2708.9,17.24,100,25.66,0.24,54.77,25.42,0,0,0,2,0.470000-,-,-,-,-,-
Berlin_1_256_scen-13_agents=6,13,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Berlin_1_256,7,6,online_window_vi_2,-2055.07,11,100,2326.15,0.11,20.85,2326.04,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,8,6,online_window_vi_2,-3687.17,13.08,100,2325.72,0.59,153.35,2325.13,0,0,0,2,0.900000-,-,-,-,-,-
Berlin_1_256,14,6,online_window_dijkstra_2,-3604.57,22.37,100,26.44,0.5,109.39,25.94,0,0,0,2,2.130000-,-,-,-,-,-
