map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
empty-48-48,1,2,online_window_dijkstra_2,-120.23,5.19,100,0.03,0,0.87,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,2,2,online_window_dijkstra_2,-167.4,4.28,100,0.04,0.01,1.04,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,3,2,online_window_dijkstra_2,-92.23,3.93,100,0.03,0,0.76,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,1,2,online_window_vi_2,-84.4,2.67,100,3.52,0,0.34,3.52,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,2,2,online_window_vi_2,-159.07,3.09,100,4.55,0,0.85,4.55,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,3,2,online_window_vi_2,-74.73,2.6,100,4.09,0,0.42,4.09,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,4,2,online_window_dijkstra_2,-314.37,6.81,100,0.22,0.19,74.69,0.03,0,0,0,2,1.270000-,-,-,-,-,-
empty-48-48,6,2,online_window_dijkstra_2,-102.43,3.57,100,0.03,0.01,1.54,0.02,0,0,0,2,0.130000-,-,-,-,-,-
empty-48-48,5,2,online_window_dijkstra_2,-295.43,7.4,100,0.14,0.11,31.34,0.03,0,0,0,2,0.530000-,-,-,-,-,-
empty-48-48,4,2,online_window_vi_2,-241.1,4.77,100,4.88,0.01,1.43,4.87,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,5,2,online_window_vi_2,-214.37,5.28,100,4.77,0.01,1.41,4.76,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,8,2,online_window_dijkstra_2,-108.73,3.8,100,0.02,0,0.71,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,6,2,online_window_vi_2,-96.57,3.3,100,3.91,0.02,8.84,3.89,0,0,0,2,0.130000-,-,-,-,-,-
empty-48-48,9,2,online_window_dijkstra_2,-149.6,5.17,100,0.02,0,0.81,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,8,2,online_window_vi_2,-103.2,2.39,100,4.49,0,0.54,4.49,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,10,2,online_window_dijkstra_2,-217.9,6.95,100,0.04,0.01,1.23,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,9,2,online_window_vi_2,-110.47,2.93,100,4.22,0,0.44,4.22,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,11,2,online_window_dijkstra_2,-110.4,4.29,100,0.03,0,0.72,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,7,2,online_window_vi_2,-219.5,3.82,100,4.9,0.2,69.21,4.7,0,0,0,2,0.970000-,-,-,-,-,-
empty-48-48,12,2,online_window_dijkstra_2,-124.77,3.06,100,0.05,0.02,12.77,0.03,0,0,0,2,0.070000-,-,-,-,-,-
empty-48-48,10,2,online_window_vi_2,-111.97,1.93,100,4.98,0,0.5,4.98,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,11,2,online_window_vi_2,-89.07,2.65,100,3.97,0,0.46,3.97,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,13,2,online_window_dijkstra_2,-130.4,3.46,100,0.05,0.02,8.78,0.03,0,0,0,2,0.100000-,-,-,-,-,-
empty-48-48,12,2,online_window_vi_2,-119.87,3.2,100,4.16,0.04,18.76,4.12,0,0,0,2,0.230000-,-,-,-,-,-
empty-48-48,13,2,online_window_vi_2,-104.4,2.96,100,4.01,0,0.78,4.01,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,14,2,online_window_dijkstra_2,-216.5,7.28,100,0.17,0.14,33.02,0.03,0,0,0,2,1.500000-,-,-,-,-,-
empty-48-48,14,2,online_window_vi_2,-161.27,4.06,100,3.74,0,0.72,3.74,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,16,2,online_window_dijkstra_2,-164.57,7.09,100,0.04,0.01,1.35,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,15,2,online_window_dijkstra_2,-186.7,5.52,100,0.25,0.22,63.57,0.03,0,0,0,2,1.400000-,-,-,-,-,-
empty-48-48,17,2,online_window_dijkstra_2,-195.57,6.08,100,0.04,0.01,1.23,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,16,2,online_window_vi_2,-133.53,4.15,100,4.19,0.01,0.94,4.18,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,18,2,online_window_dijkstra_2,-177.7,3.31,100,0.03,0.01,1.18,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,7,2,online_window_dijkstra_2,-277.73,8.2,100,0.98,0.96,235.84,0.02,0,0,0,2,6.430000-,-,-,-,-,-
empty-48-48,19,2,online_window_dijkstra_2,-112.63,4.23,100,0.03,0,0.7,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,15,2,online_window_vi_2,-152.57,4.58,100,3.83,0.25,63.88,3.58,0,0,0,2,1.800000-,-,-,-,-,-
empty-48-48,20,2,online_window_dijkstra_2,-149.33,4.54,100,0.02,0,0.75,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,17,2,online_window_vi_2,-143.13,3.36,100,4.77,0,0.69,4.77,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,21,2,online_window_dijkstra_2,-207.8,6.42,100,0.04,0.01,1.31,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,18,2,online_window_vi_2,-169.03,4.11,100,4.91,0.01,1.08,4.9,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,19,2,online_window_vi_2,-89.27,2.95,100,3.64,0,0.4,3.64,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,22,2,online_window_dijkstra_2,-201.07,4.52,100,0.04,0.01,1.25,0.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,20,2,online_window_vi_2,-117.53,2.7,100,3.12,0,0.51,3.12,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,23,2,online_window_dijkstra_2,-144.47,4.6,100,0.04,0.01,8.41,0.03,0,0,0,2,0.100000-,-,-,-,-,-
empty-48-48,24,2,online_window_dijkstra_2,-168.5,4.5,100,0.05,0.02,10.07,0.03,0,0,0,2,0.170000-,-,-,-,-,-
empty-48-48,21,2,online_window_vi_2,-139.73,2.79,100,4.15,0,0.83,4.15,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,25,2,online_window_dijkstra_2,-215.97,4.67,100,0.03,0.01,1.29,0.02,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,22,2,online_window_vi_2,-166.07,3.22,100,4.04,0.01,0.98,4.03,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,23,2,online_window_vi_2,-142.73,4.03,100,4.84,0.03,12.46,4.81,0,0,0,2,0.270000-,-,-,-,-,-
empty-48-48,24,2,online_window_vi_2,-144.37,3.05,100,4.29,0,0.62,4.29,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48,25,2,online_window_vi_2,-195.13,3.73,100,4.52,0.05,17.17,4.47,0,0,0,2,0.500000-,-,-,-,-,-
empty-48-48,2,4,online_window_dijkstra_2,-256.6,6.5,100,0.24,0.19,53,0.05,0,0,0,2,1.430000-,-,-,-,-,-
empty-48-48,3,4,online_window_dijkstra_2,-143.7,4.83,100,0.07,0.01,1.32,0.06,0,0,0,0,0.000000-,-,-,-,-,-
empty-48-48_scen-1_agents=4,1,4,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
empty-48-48,3,4,online_window_vi_2,-121.67,3.33,100,7.66,0,1.09,7.66,0,0,0,2,0.030000-,-,-,-,-,-
empty-48-48,2,4,online_window_vi_2,-255.3,5.77,100,10.59,0.17,63.76,10.42,0,0,0,2,1.200000-,-,-,-,-,-
empty-48-48,5,4,online_window_dijkstra_2,-508.27,8.54,100,0.29,0.23,51.79,0.06,0,0,0,2,1.830000-,-,-,-,-,-
empty-48-48,5,4,online_window_vi_2,-419.03,6.6,100,8.8,0.08,30.9,8.72,0,0,0,2,0.630000-,-,-,-,-,-
empty-48-48,6,4,online_window_dijkstra_2,-256.57,7.67,100,0.48,0.42,122.34,0.06,0,0,0,2,3.230000-,-,-,-,-,-
