map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,replans_max_size,replans_count,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,1,2,online_window_dijkstra_2,-341,188.317,188.317,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-382,335.377,335.377,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-378,30.7203,30.7203,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-427,46.1127,46.1127,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-429,14.2581,14.2581,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-407,157.67,157.67,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-424,310.681,310.681,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-406,318.594,318.594,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-421,118.677,118.677,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-380,218.443,218.443,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-329,171.58,171.58,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-396,169.071,169.071,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-385,86.1039,86.1039,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-461,13.5254,13.5254,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-471,220.036,220.036,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-404,286.175,286.175,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-387,33.552,33.552,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-379,486.858,486.858,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-395,108.507,108.507,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-443,285.207,285.207,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-414,148.792,148.792,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-558,516.776,516.776,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-464,324.392,324.392,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-423,170.599,170.599,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-545,241.649,241.649,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-456,375.913,375.913,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-665,470.086,470.086,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-371,268.58,268.58,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-464,185.803,185.803,0,success,0,0,-,-,-,-,-
maze-32-32-4,1,2,online_window_dijkstra_2,-367,66.9235,66.9235,0,success,0,0,-,-,-,-,-
maze-32-32-4,3,2,online_window_dijkstra_2,-69,3.73203,3.73203,0,success,0,0,-,-,-,-,-
maze-32-32-4,3,2,online_window_dijkstra_2,-31,0.970208,0.970208,0,success,0,0,-,-,-,-,-
maze-32-32-4,3,2,online_window_dijkstra_2,-75,2.24127,2.24127,0,success,0,0,-,-,-,-,-
maze-32-32-4,3,2,online_window_dijkstra_2,-58,1.79633,1.79633,0,success,0,0,-,-,-,-,-
