map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
ost003d,6,6,online_window_dijkstra_2,-1381.07,13.06,100,4.23,0.06,12.95,4.17,0,0,0,2,0.030000-,-,-,-,-,-
ost003d,2,6,online_window_dijkstra_2,-1281.6,14.32,100,4.85,0.07,19.15,4.78,0,0,0,2,0.200000-,-,-,-,-,-
ost003d,8,6,online_window_dijkstra_2,-1276.1,10.62,100,4.81,0.05,10.19,4.76,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,3,6,online_window_dijkstra_2,-1499.5,14.61,100,4.25,0.12,29.5,4.13,0,0,0,2,0.900000-,-,-,-,-,-
ost003d,4,6,online_window_dijkstra_2,-1247.57,12.08,100,4.41,0.11,31.28,4.3,0,0,0,2,0.930000-,-,-,-,-,-
ost003d,5,6,online_window_dijkstra_2,-1289.7,12.51,100,4.62,0.15,37.66,4.47,0,0,0,2,1.070000-,-,-,-,-,-
ost003d,7,6,online_window_dijkstra_2,-1288.07,15.01,100,4.79,0.14,42.5,4.65,0,0,0,2,0.600000-,-,-,-,-,-
ost003d,1,6,online_window_dijkstra_2,-1638.3,19.99,100,5.17,0.14,34.53,5.03,0,0,0,2,0.970000-,-,-,-,-,-
ost003d,9,6,online_window_dijkstra_2,-1897,14.77,100,4.72,0.2,50.33,4.52,0,0,0,2,2.230000-,-,-,-,-,-
ost003d,10,6,online_window_dijkstra_2,-1273.3,9.78,100,4.58,0.23,53.02,4.35,0,0,0,2,1.630000-,-,-,-,-,-
ost003d,12,6,online_window_dijkstra_2,-1134.6,10.32,100,4.78,0.2,53.34,4.58,0,0,0,2,1.070000-,-,-,-,-,-
ost003d,11,6,online_window_dijkstra_2,-1644.8,16.84,100,4.44,0.28,61.87,4.16,0,0,0,2,1.470000-,-,-,-,-,-
ost003d,13,6,online_window_dijkstra_2,-1710.5,10.49,100,4.14,0.06,10.89,4.08,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,14,6,online_window_dijkstra_2,-1199.93,15.51,100,4.43,0.13,35.23,4.3,0,0,0,2,1.070000-,-,-,-,-,-
ost003d,15,6,online_window_dijkstra_2,-1489.27,16.29,100,4.73,0.26,59.94,4.47,0,0,0,2,1.530000-,-,-,-,-,-
ost003d,7,6,online_window_vi_2,-942.07,8.37,100,867.56,0.12,32.29,867.44,0,0,0,2,1.100000-,-,-,-,-,-
ost003d,4,6,online_window_vi_2,-1023.47,8.28,100,876.28,0.06,25.34,876.22,0,0,0,2,0.300000-,-,-,-,-,-
