map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
ost003d,4,2,online_window_dijkstra_2,-270.1,4.8,100,1.19,0.01,1.4,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-536.5,6.78,100,1.2,0.01,2.71,1.19,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-594.67,9.04,100,1.2,0.02,2.85,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,5,2,online_window_dijkstra_2,-488.2,7.23,100,1.19,0.01,2.47,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,1,2,online_window_dijkstra_2,-330.63,6.81,100,1.25,0.07,21.38,1.18,0,0,0,2,0.800000-,-,-,-,-,-
ost003d,6,2,online_window_dijkstra_2,-499.67,8.63,100,1.12,0.01,2.29,1.11,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,7,2,online_window_dijkstra_2,-438.47,8.01,100,1.2,0.01,2.07,1.19,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,8,2,online_window_dijkstra_2,-403.4,8.61,100,1.19,0.01,1.64,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,9,2,online_window_dijkstra_2,-398.53,5.13,100,1.19,0.01,1.92,1.18,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,10,2,online_window_dijkstra_2,-333.3,6.52,100,1.2,0.01,1.83,1.19,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,1,2,online_window_vi_2,-227.2,4.45,100,253.34,0.02,8.59,253.32,0,0,0,2,0.130000-,-,-,-,-,-
ost003d,11,2,online_window_dijkstra_2,-405.4,8.64,100,1.35,0.01,2.44,1.34,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,4,2,online_window_vi_2,-236.8,3.92,100,257.62,0.01,1.21,257.61,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,2,2,online_window_vi_2,-474.77,6.29,100,257.97,0.01,2.51,257.96,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,5,2,online_window_vi_2,-395.23,4.78,100,261.18,0.01,1.78,261.17,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,6,2,online_window_vi_2,-424.83,5.59,100,258.23,0.01,1.88,258.22,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,12,2,online_window_dijkstra_2,-425,9.56,100,1.37,0.03,9.81,1.34,0,0,0,2,0.470000-,-,-,-,-,-
ost003d,7,2,online_window_vi_2,-331.17,4.91,100,259.17,0.01,1.42,259.16,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,13,2,online_window_dijkstra_2,-723.6,9.67,100,1.27,0.02,4.06,1.25,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,14,2,online_window_dijkstra_2,-473.97,8.71,100,1.3,0.02,2.86,1.28,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,8,2,online_window_vi_2,-252.9,4.13,100,259.56,0.01,1.13,259.55,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,3,2,online_window_vi_2,-449.53,5.3,100,265.79,0.01,2.04,265.78,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,15,2,online_window_dijkstra_2,-553.33,10.89,100,1.29,0.02,3.17,1.27,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,9,2,online_window_vi_2,-351.53,4.78,100,260.76,0.01,1.49,260.75,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,16,2,online_window_dijkstra_2,-653.03,11.09,100,1.39,0.05,19.68,1.34,0,0,0,2,0.330000-,-,-,-,-,-
ost003d,17,2,online_window_dijkstra_2,-139.27,3.61,100,1.45,0.03,9.63,1.42,0,0,0,2,0.270000-,-,-,-,-,-
ost003d,18,2,online_window_dijkstra_2,-179.1,4.81,100,1.59,0.01,1.08,1.58,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,10,2,online_window_vi_2,-257.6,4.25,100,262.34,0.01,1.46,262.33,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,19,2,online_window_dijkstra_2,-282.57,7.63,100,1.41,0.01,2.18,1.4,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,20,2,online_window_dijkstra_2,-890.6,11.87,100,1.58,0.03,5.44,1.55,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,11,2,online_window_vi_2,-328.67,4.8,100,307.67,0.01,2.06,307.66,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,14,2,online_window_vi_2,-401.17,4.91,100,303.32,0.01,2.02,303.31,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,13,2,online_window_vi_2,-600.03,5.1,100,304.65,0.02,3.26,304.63,0,0,0,0,0.000000-,-,-,-,-,-
