map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,replans_max_size,replans_count,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
ost003d,4,2,online_window_dijkstra_2,-293,13.2157,12.0357,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-297,12.4264,11.2464,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-260,9.55835,8.37835,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-225,8.22887,7.04887,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-283,10.8254,9.6454,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-277,9.46627,8.28627,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-272,8.89789,7.71789,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-254,8.96386,7.78386,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-221,7.73961,6.55961,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-248,7.14238,5.96238,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-253,7.93462,6.75462,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-333,11.6861,10.5061,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-276,8.14276,6.96276,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-242,7.4791,6.2991,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-311,9.62414,8.44414,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-283,7.97386,6.79386,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-316,10.2454,9.06544,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-243,7.81847,6.63847,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-236,6.25643,5.07643,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-269,7.42089,6.24089,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-258,8.06782,6.88782,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-303,8.60177,7.42177,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-272,8.19133,7.01133,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-240,7.18017,6.00017,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-257,7.63387,6.45387,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-271,7.30692,6.12692,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-297,7.85325,6.67325,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-269,6.999,5.819,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-273,8.97653,7.79653,1.18,success,0,0,-,-,-,-,-
ost003d,4,2,online_window_dijkstra_2,-271,8.19408,7.01408,1.18,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-509,22.1805,20.9905,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-542,21.7351,20.5451,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-564,20.0842,18.8942,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-508,18.9298,17.7398,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-581,20.1464,18.9564,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-505,17.8338,16.6438,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-595,17.0056,15.8156,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-536,16.0861,14.8961,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-513,15.3098,14.1198,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-488,15.0699,13.8799,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-511,14.1819,12.9919,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-523,15.9905,14.8005,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-487,14.3013,13.1113,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-492,12.8603,11.6703,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-589,16.0374,14.8474,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-505,14.5972,13.4072,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-506,13.4099,12.2199,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-573,15.0471,13.8571,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-554,14.6155,13.4255,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-532,13.154,11.964,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-557,17.0476,15.8576,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-495,13.684,12.494,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-541,13.9498,12.7598,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-496,12.1122,10.9222,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-554,14.7441,13.5541,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-586,13.8684,12.6784,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-587,17.2768,16.0868,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-484,13.8886,12.6986,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-578,15.5046,14.3146,1.19,success,0,0,-,-,-,-,-
ost003d,2,2,online_window_dijkstra_2,-604,14.5129,13.3229,1.19,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-606,25.5232,24.3432,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-511,17.0378,15.8578,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-553,18.4837,17.3037,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-589,18.8778,17.6978,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-649,20.3698,19.1898,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-591,17.0736,15.8936,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-535,15.7996,14.6196,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-633,17.2238,16.0438,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-580,17.6685,16.4885,1.18,success,0,0,-,-,-,-,-
ost003d,3,2,online_window_dijkstra_2,-579,15.6583,14.4783,1.18,success,0,0,-,-,-,-,-
