map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
room-64-64-16,1,2,online_window_dijkstra_2,-27.17,2.37,100,0.08,0,0.23,0.08,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,3,2,online_window_dijkstra_2,-335,7.41,100,0.07,0.01,2.69,0.06,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,10,2,online_window_dijkstra_2,-668.03,10.7,100,0.11,0.03,4.72,0.08,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,11,2,online_window_dijkstra_2,-350.37,6.17,100,0.1,0.02,3.22,0.08,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,5,2,online_window_dijkstra_2,-393.53,8.01,100,0.15,0.06,22.95,0.09,0,0,0,2,0.370000-,-,-,-,-,-
room-64-64-16,4,2,online_window_dijkstra_2,-725.6,9.59,100,0.24,0.18,55.53,0.06,0,0,0,2,0.670000-,-,-,-,-,-
room-64-64-16,8,2,online_window_dijkstra_2,-533.53,10.05,100,0.27,0.19,48.66,0.08,0,0,0,2,1.530000-,-,-,-,-,-
room-64-64-16,6,2,online_window_dijkstra_2,-279.97,8.67,100,0.34,0.25,73.34,0.09,0,0,0,2,1.430000-,-,-,-,-,-
room-64-64-16,7,2,online_window_dijkstra_2,-524.77,7.5,100,0.38,0.29,86.11,0.09,0,0,0,2,2.330000-,-,-,-,-,-
room-64-64-16,14,2,online_window_dijkstra_2,-560.1,9.69,100,0.18,0.13,38.02,0.05,0,0,0,2,1.070000-,-,-,-,-,-
room-64-64-16,15,2,online_window_dijkstra_2,-723.37,10.59,100,0.12,0.05,30.62,0.07,0,0,0,2,0.130000-,-,-,-,-,-
room-64-64-16,3,2,online_window_vi_2,-286.97,3.66,100,12.22,0.01,1.98,12.21,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,2,2,online_window_dijkstra_2,-759.1,10.93,100,0.49,0.42,167.69,0.07,0,0,0,2,2.270000-,-,-,-,-,-
room-64-64-16,9,2,online_window_dijkstra_2,-817.17,9.34,100,0.51,0.43,110.62,0.08,0,0,0,2,1.930000-,-,-,-,-,-
room-64-64-16,16,2,online_window_dijkstra_2,-286.97,6.37,100,0.11,0.05,17.59,0.06,0,0,0,2,0.470000-,-,-,-,-,-
room-64-64-16,17,2,online_window_dijkstra_2,-58.37,2.55,100,0.07,0,0.36,0.07,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,18,2,online_window_dijkstra_2,-530.27,6.93,100,0.09,0.02,3.48,0.07,0,0,0,0,0.000000-,-,-,-,-,-
room-64-64-16,1,2,online_window_vi_2,-20.67,1.83,100,14.36,0,0.12,14.36,0,0,0,0,0.000000-,-,-,-,-,-
