map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
Berlin_1_256,1,6,online_window_dijkstra_2,-1801.6,13.43,100,24.56,0.11,30.41,24.45,0,0,0,2,0.100000-,-,-,-,-,-
Berlin_1_256_scen-6_agents=6,6,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Berlin_1_256,7,6,online_window_dijkstra_2,-2518,21.6,100,24.8,0.1,18.32,24.7,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,4,6,online_window_dijkstra_2,-2258.8,18.41,100,24.53,0.1,19.18,24.43,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,10,6,online_window_dijkstra_2,-3598.57,26.12,100,23.81,0.33,80.07,23.48,0,0,0,2,1.900000-,-,-,-,-,-
Berlin_1_256,5,6,online_window_dijkstra_2,-3707.37,21,100,25.37,0.76,166.76,24.61,0,0,0,2,4.570000-,-,-,-,-,-
Berlin_1_256,3,6,online_window_dijkstra_2,-3587.1,23.83,100,25.59,0.98,258.79,24.61,0,0,0,2,3.600000-,-,-,-,-,-
Berlin_1_256,9,6,online_window_dijkstra_2,-4186.63,25.02,100,26.06,1.44,310.91,24.62,0,0,0,2,4.570000-,-,-,-,-,-
Berlin_1_256,2,6,online_window_dijkstra_2,-3284.37,23.68,100,24.83,1.49,350.09,23.34,0,0,0,2,4.500000-,-,-,-,-,-
Berlin_1_256_scen-8_agents=6,8,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Berlin_1_256,11,6,online_window_dijkstra_2,-3098.53,19.91,100,23.49,0.14,24.9,23.35,0,0,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,12,6,online_window_dijkstra_2,-2716.2,22.9,100,22.59,0.23,45.91,22.36,0,0,0,2,0.800000-,-,-,-,-,-
Berlin_1_256,14,6,online_window_dijkstra_2,-3577.2,17.91,100,24.54,0.42,102.8,24.12,0,0,0,2,1.730000-,-,-,-,-,-
Berlin_1_256,15,6,online_window_dijkstra_2,-2911.87,21.47,100,23.36,0.36,85.49,23,0,0,0,2,2.800000-,-,-,-,-,-
Berlin_1_256,16,6,online_window_dijkstra_2,-4464.1,26.59,100,23.58,0.98,256.92,22.6,0,0,0,2,3.330000-,-,-,-,-,-
Berlin_1_256,17,6,online_window_dijkstra_2,-3158.5,20.11,100,22.57,0.61,170.02,21.96,0,0,0,2,2.770000-,-,-,-,-,-
Berlin_1_256_scen-13_agents=6,13,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
Berlin_1_256,18,6,online_window_dijkstra_2,-3357.87,20.07,100,24.27,1.33,290.99,22.94,0,0,0,2,9.500000-,-,-,-,-,-
Berlin_1_256,19,6,online_window_dijkstra_2,-2890.7,20.2,100,22.89,0.46,93.97,22.43,0,0,0,2,2.000000-,-,-,-,-,-
Berlin_1_256,20,6,online_window_dijkstra_2,-2236.07,20.01,100,23.17,0.52,178.32,22.65,0,0,0,2,1.530000-,-,-,-,-,-
Berlin_1_256,7,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44748e-38,1800,0,100,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,1,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.447e-38,1800,0,100,0,0,0.000000-,-,-,-,-,-
Berlin_1_256,3,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44721e-38,1800,0,100,0,2,0.570000-,-,-,-,-,-
Berlin_1_256,6,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44753e-38,1800,0,100,0,2,0.930000-,-,-,-,-,-
Berlin_1_256,4,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44717e-38,1800,0,100,0,2,1.970000-,-,-,-,-,-
Berlin_1_256,8,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44772e-38,1800,0,100,0,2,0.630000-,-,-,-,-,-
Berlin_1_256,10,6,online_window_vi_2,0,4.59023e-41,0,1800,0,1.44777e-38,1800,0,100,0,2,1.230000-,-,-,-,-,-
