map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,1,2,online_window_dijkstra_2,-425.73,12.21,100,0.21,0.21,46.14,0,0,0,0,2,2.630000-,-,-,-,-,-
maze-32-32-4,3,2,online_window_dijkstra_2,-57.27,3.68,100,0,0,0.35,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,1,2,online_window_vi_2,-342.1,7.74,100,2.35,0.19,40.42,2.16,0,0,0,2,2.700000-,-,-,-,-,-
maze-32-32-4,2,2,online_window_dijkstra_2,-246.97,6.72,100,0.27,0.27,52.34,0,0,0,0,2,2.670000-,-,-,-,-,-
maze-32-32-4,2,2,online_window_vi_2,-206.77,5.04,100,2.37,0.22,44.09,2.15,0,0,0,2,2.730000-,-,-,-,-,-
maze-32-32-4,5,2,online_window_dijkstra_2,-185.57,4.92,100,0.01,0.01,1.14,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,3,2,online_window_vi_2,-52.43,2.57,100,2,0.01,7.49,1.99,0,0,0,2,0.100000-,-,-,-,-,-
maze-32-32-4,6,2,online_window_dijkstra_2,-163.13,4.67,100,0.01,0.01,1.15,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,5,2,online_window_vi_2,-155.9,3.44,100,1.99,0,0.87,1.99,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,7,2,online_window_dijkstra_2,-107.27,3.75,100,0,0,0.82,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,6,2,online_window_vi_2,-143.2,3.66,100,2.14,0,0.91,2.14,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,7,2,online_window_vi_2,-91.97,3.45,100,1.94,0,0.62,1.94,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,4,2,online_window_dijkstra_2,-430.7,9.79,100,0.22,0.22,44.54,0,0,0,0,2,2.900000-,-,-,-,-,-
maze-32-32-4,9,2,online_window_dijkstra_2,-154.97,3.21,100,0,0,0.76,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,8,2,online_window_dijkstra_2,-310.87,7.73,100,0.15,0.15,40.76,0,0,0,0,2,1.530000-,-,-,-,-,-
maze-32-32-4,9,2,online_window_vi_2,-150.57,3.5,100,1.65,0,0.78,1.65,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,10,2,online_window_dijkstra_2,-180.67,4.9,100,0.01,0.01,1.49,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,4,2,online_window_vi_2,-376.4,5.98,100,2.41,0.26,55.05,2.15,0,0,0,2,2.300000-,-,-,-,-,-
maze-32-32-4,11,2,online_window_dijkstra_2,-217.77,3.37,100,0.01,0.01,1.74,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,12,2,online_window_dijkstra_2,-303.3,4.87,100,0.01,0.01,1.62,0,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,10,2,online_window_vi_2,-139.2,2.36,100,1.95,0,0.92,1.95,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,11,2,online_window_vi_2,-201,3.26,100,1.99,0.01,1.25,1.98,0,0,0,0,0.000000-,-,-,-,-,-
maze-32-32-4,12,2,online_window_vi_2,-264.6,3.7,100,1.93,0.01,1.34,1.92,0,0,0,0,0.000000-,-,-,-,-,-
